"","title","created","redirect_url","longitude","id","latitude","salary_is_predicted","salary_max","__CLASS__","salary_min","adref","description","contract_time","contract_type","label","tag","__CLASS__","display_name","__CLASS__","__CLASS__","display_name","area"
"388","Assistant Manager - Operations IT","2020-11-21T08:12:20Z","https://www.adzuna.in/land/ad/1836156340?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=DA754BDF565DABE93F5D54E68563A21627A890C9",75.9469,"1836156340",26.7441,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzNjE1NjM0MCIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.W8U_jfW2aV_zsWb7i2lbk9B6KkQVehlTkK4iGHtBOP4","Day to day shared management of Global Operations IT requests Manage IT Services at all Operations offices around the world. Ensure follow-the-sun model of IT Support Ensure BCP and DR Responsible for availability, security, and operation of both on prem site Infrastructure, ISPs, and Cloud Infrastructure. Work closely with InfoSec to identify risks, harden security posture, and narrow company attack surface. Direct daily, weekly, and quarterly work from JIRA ticket queue and Project List Decid¡­",NA,NA,"Unknown","unknown","Adzuna::API::Response::Category","Jumio Corporation","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Jaipur, Rajasthan","c(""India"", ""Rajasthan"", ""Jaipur"")"
"389",".Net Developer - ASP/C#/MVC Framework (5-8 yrs) Bangalore (Backend Developer)","2020-11-05T02:50:19Z","https://www.adzuna.in/land/ad/1803101389?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=AE3AE9AF91F2809A26ED061F663FF4E544D1E2D3",77.59837,"1803101389",12.95703,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgwMzEwMTM4OSIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.OAyfxdMw1GG-TVBFx__v8Z-RTDkwR_jaZy18ggYYwAM","Experience: 5 Budget: 12 Lacs Mandatory Skills 1) ASP.NET CORE/MVC framework&nbsp; 2) SQL Server 2008 or more&nbsp; 3) Should be good in architectural patterns e.g. Model-View-Controller (MVC)&nbsp; 4) Expert in .NET languages (e.g. C#, Visual Basic .NET) and HTML5/CSS3 5,JavaScript) Expert in developing secured WebAPIs (REST API development)&nbsp; 5) Familiarity with architecture styles Roles &amp; Responsibilities : 1) Write clean, scalable, secured code using .NET programming languages (ASP.¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","CAREER PLANET","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Bangalore, Karnataka","c(""India"", ""Karnataka"", ""Bangalore"")"
"390","ARI Networks - Senior Software Developer - .Net/C#/Design Patterns (8-15 yrs) Gurgaon/Gurugram (Backend Developer)","2020-12-09T03:20:47Z","https://www.adzuna.in/land/ad/1869599765?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=66F1FD91F46B9A76789039FF2517F4342406CE9F",NA,"1869599765",NA,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg2OTU5OTc2NSIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.TKMaNdUWp_3LK8pjfOVUmsJjudFgVPKeZ5qZ6ew0OOc","ARI/LeadVenture offers you an opportunity to work in a software product development company in a niche B2B area; profitable; and having marquee customers globally. Be a part of our India Engineering team helping drive the next phase of growth of the company.&nbsp; A fun, team-oriented environment where people are invested in and respected. Mentoring &amp; support by hands-on management with global experience. Market-leading salary, performance bonus and benefits/perks. While the responsibilitie¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","ARI Networks","Adzuna::API::Response::Company","Adzuna::API::Response::Location","India","India"
"391","Job openings for inside sales executive sales coordinator sales coordination in mumbai","2020-10-06T08:16:04Z","https://www.adzuna.in/land/ad/1744851916?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=BD73DADD1B3D95FAD19CCD596EFF47E64FA0592D",72.84415,"1744851916",19.00821,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc0NDg1MTkxNiIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.Zqo84kz7KVF6mKySfb5A8Xr2EI6FNtAM0nO2rKvDnAQ","Job openings for inside sales executive sales coordinator sales coordination in mumbai Evaluation of RFP, RFQ (Tender documents) & preparing proposal documents. Prepare quotation as per customer requirement & share with partners & Customers. Present product solutions virtually Leverage email marketing/ email automation tools Good IT products knowledge on all the technical and commercial aspects. Strong written and verbal communication skills. Experience 2 - 6 Years Salary 2 Lac To 2 Lac 50 Thou¡­",NA,NA,"Unknown","unknown","Adzuna::API::Response::Category","Prism Manpower Solutions","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Mumbai, Maharashtra","c(""India"", ""Maharashtra"", ""Mumbai"")"
"392","IT Infrastructure Officer - CCNA/MCSE/Network Administration (5-10 yrs) Mumbai (DevOps)","2020-10-31T02:44:05Z","https://www.adzuna.in/land/ad/1792995689?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=779CF5A70BBA2F589F838548539BF57C4BE4715A",72.84415,"1792995689",19.00821,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUVINmk4QTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxNzkyOTk1Njg5In0.-MW7lz-Y6wdanRy1kqYm9OxengGflbY1KBtbco3XhDg","Job Description for managing IT day to day operations to improve performance and end user satisfaction - Ensure system performance and SLA's are met - Implement IT continuous improvement programs - Provide in technical expertise for both tactical and operational initiatives - Responsible for designing and troubleshooting the IT services - Ensure the infrastructure team is mitigating, monitoring and managing infrastructure related risks Looking at : - At least 5 years of IT experience including ¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","ABC Consultants","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Mumbai, Maharashtra","c(""India"", ""Maharashtra"", ""Mumbai"")"
"393","Flutter Developer - Android/iOS Platform (2-5 yrs) Anywhere in India/Multiple Locations (Mobile Applications)","2020-11-08T02:42:00Z","https://www.adzuna.in/land/ad/1808976755?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=531E7C365AC339E405701149F21FDE3EC3B921D6",NA,"1808976755",NA,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgwODk3Njc1NSIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.4fPBoCVh_GUW9UhZcsuIa-brngodCbWEyBuMCSmgXck","Job Description : - Join a fast-growing and progressive firm - Opportunity to design platform from scratch - A role that will accelerate learning development - Our client is a fleet management firm driven by IoT and analytics, aiming to improve transportation efficiency. They are providing innovative &amp; cost-effective solutions to companies, enterprises big and small, and individuals. The Job - In this role, you will be responsible for using flutter development framework to create text adven¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Snaphunt Pte Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","India","India"
"394","Ewebcore Technologies - .Net Developer - ASP/C#/SQL Server (3-8 yrs) Thane (Backend Developer)","2020-11-22T02:55:10Z","https://www.adzuna.in/land/ad/1837520343?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=18301152586E27A3FF2C2B9259B34215A0852210",73.04845,"1837520343",19.17335,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgzNzUyMDM0MyIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.kEm89EAo0KyQSBDB6hfxY4hy89sO-5GbC7Cne0GCWLY","Requirements : - Understanding of Web Technologies - Skills Required : C#, .Net, Asp.net, MVC, Jquery, JavaScript, Angular.Js, SQL Server database - 3 Years of experience in .Net platform is mandatory. - Programming (Web services &amp; APIs), Web pages, Triggers, Workflows, Page Layouts, Roles, Profiles, Reports &amp; Dashboards. - Good knowledge of security models. - Integrating UNFYD product Suite using Web methods, Web services, etc. (ref:hirist.com)","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Ewebcore Technologies Pvt Ltd","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Thane, Maharashtra","c(""India"", ""Maharashtra"", ""Thane"")"
"395","Azure Engineer - DevOps/CI/CD (5-7 yrs) Bangalore/Chennai (DevOps)","2020-11-01T02:39:27Z","https://www.adzuna.in/land/ad/1794912408?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=32C210C7DA0B67746C7769AB10DBF401D8E0F9D9",NA,"1794912408",NA,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc5NDkxMjQwOCIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.AE8pihGSSJ9y-Ax1hX86-T8z1b2yBLxIOKuHw4WPVuM","Must Have Skills: - Azure Devops, CI/CD, troubleshoot any build and release failures. - Strong Azure cloud knowledge and Hands-on. - Should be able to work application Team and advice changes needs in the Cloud or Infra and take it to DEVOPS team; - Should have PowerShell knowledge and hands-on. Nice To Have Skills: - Development or scripting skills, Docker, Jenkins, Agile knowledge. Best practices of DEVOPS; Azure certification - Handle team and help them in resolving any customer specific iss¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Pearl Consulting","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Chennai, Tamil Nadu","c(""India"", ""Tamil Nadu"", ""Chennai"")"
"396","Learning & Development Business Lead - India","2020-11-26T06:14:21Z","https://www.adzuna.in/land/ad/1844766436?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=7BF49F09FDC9794A1736D60AE433AA045F6FC745",72.84415,"1844766436",19.00821,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0NDc2NjQzNiIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.Z72IvYblSQwNi0CbE-AYeHGo_HpROQhrXUO-Bh_BLXg","Learning & Development Business Lead - India Learning & Development Business Lead - India About Us DSS Sustainable Solutions (DSS) is the operations management consulting company operating in 30 countries. DSS is the partner of choice for many organizations looking to get rapid and sustainable results in the field of operational risk management, operational excellence and capital effectiveness. The DSS team consists of a balanced mix of top talented individuals with strong consulting and/or ope¡­",NA,NA,"Unknown","unknown","Adzuna::API::Response::Category","DSS Sustainable Solutions","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Mumbai, Maharashtra","c(""India"", ""Maharashtra"", ""Mumbai"")"
"397","Technical Lead - Software Development - PHP/React.js (15-17 yrs) Bangalore (Frontend Developer)","2020-11-28T02:48:45Z","https://www.adzuna.in/land/ad/1848094484?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=DCE3E22146E48ADB2B3ACCACF88CF4B029CD41B6",77.59837,"1848094484",12.95703,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUVINmk4QTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ4MDk0NDg0In0.-L3uvU_EDXoJMWZpDX7cbKtyd2MOmb7OrHvYnwsubY8","Title: Technical Lead Total Experience: 15 years Work Location: Bangalore Job Responsibilities: - Solve complex performance problems and architectural challenges - Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality. - Thorough understanding of React.js and its core principles. - Familiarity with Restful APIs. - Build efficient, testable, and reusable PHP modules. - Should be able to understand the requirements &amp; Develop we¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Prime Infosoft","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Bangalore, Karnataka","c(""India"", ""Karnataka"", ""Bangalore"")"
"398","QA Engineer - SDLC/Defect Life Cycle (3-4 yrs) Bangalore (Quality Assurance)","2020-10-21T02:36:03Z","https://www.adzuna.in/land/ad/1774220960?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=59481EFB0127C6731C831FA249207884A16009D9",77.59837,"1774220960",12.95703,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTc3NDIyMDk2MCIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.J9fWIZYFozDIFiec_wQuQ9o24MsDlc6wSXEpfTgBNDg","WE are looking for - QA Engineer- with our RPA product development client in Bangalore (www.jiffy.ai).But job location is  Bangalore only. Candidate should be able to join within 15 days of time, sooner than that it's better too,it will be a IC Role, willing to learn &amp; grow with the organization too with good communication skill. Position Title: QA Engineer Function: Product Engineering Location: Bangalore Brief Job Description: - Create detailed, comprehensive and well-structured test plan¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Strategic HR Solutions","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Bangalore, Karnataka","c(""India"", ""Karnataka"", ""Bangalore"")"
"399","Oracle Techno-Functional Consultant - Fusion/iProcurement Module (5-9 yrs) Bangalore/Chennai/Mumbai/Pune (Enterprise - SAP/Oracle)","2020-11-14T03:00:30Z","https://www.adzuna.in/land/ad/1821099257?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=B800EB7E39F8B7361DC11697D37B17C3A2ECE2C4",NA,"1821099257",NA,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTgyMTA5OTI1NyIsInMiOiJhRUg2aThBNzZ4R2dTQzMxWGJiTFJRIn0.J7Pkj6RoI3ldF-F7tIQ29lJnK2IzVve0ixmXdCP4cdM","Requirements : - To create cost estimation models to generate lifecycle efforts, costs and elapsed time based on different sizes and complexity of applications and applies the same for ball park estimates of new demands and periodic assessment of software size. - To undertake Software Quality Initiative (CMMI) to improve software development life cycle process (SDLC) - To undertake Application Software development and migration project - To support the business on Oracle Fusion Purchasing, Supp¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","Proassert Consultancy","Adzuna::API::Response::Company","Adzuna::API::Response::Location","India","India"
"400","Software Developer - Data Engineering - Java/Golang (4-8 yrs) Pune (Backend Developer)","2020-11-05T02:49:57Z","https://www.adzuna.in/land/ad/1803100492?se=aEH6i8A76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=F35C99A01BB0320638512E1097B09A0CFEF0C90E",73.84735,"1803100492",18.5062,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiYUVINmk4QTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODAzMTAwNDkyIn0.J941rF5EewslzVl4N0SmvCPa5G_qFIvm3To5TqVlMfA","- Have at least 4 years Experience. - Deep technical understanding of Java or Golang. - Production experience with Python is a big plus, extremely valuable supporting skill for us. - Exposure to modern Big Data tech: Cassandra/Scylla, Kafka, Ceph, the Hadoop Stack, Spark, Flume, Hive, Druid etc- while at the same time understanding that certain problems may require completely novel solutions. - Exposure to one or more modern ML tech stacks: Spark ML-Lib, Tensorflow, Keras, GCP ML Stack, AWS Sag¡­","full_time","permanent","IT Jobs","it-jobs","Adzuna::API::Response::Category","RS Consulting","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Pune, Maharashtra","c(""India"", ""Maharashtra"", ""Pune"")"
"401","Installi tende e zanzariere? Antonio L. ha richiesto installazione zanzariera","2020-11-26T16:16:57Z","https://www.adzuna.it/land/ad/1846045242?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=534734E8E662F8A96EB3381BF1BC030C2CA61EA2",11.523556,"1846045242",44.559413,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0NjA0NTI0MiIsInMiOiJESE1Na01BNzZ4R2dTQzMxWGJiTFJRIn0.___6gHSqdLPru7vmQum7lKKifSJ-Xc10BabF0atXwEo","Antonio L. ha fatto richiesta per zanzariere a Bologna. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Sanit¨¤/Medicina","healthcare-nursing-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Budrio, Provincia di Bologna","c(""Italia"", ""Emilia-Romagna"", ""Provincia di Bologna"", ""Budrio"")"
"402","Operatore cnc Junior","2020-11-15T01:44:19Z","https://www.adzuna.it/land/ad/1823786555?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=B7CB52F1CC7F8FC5D14847DCF6133A6541EBC535",9.469226,"1823786555",45.748678,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODIzNzg2NTU1In0.PdfMK4QE_T0MFimfxZuQ_Ulw5_kVIcVOGl4pus56i0I","FILIALE : CALUSCO D'ADDA SPECIALIZZAZIONE : Mechanics Gi Group SpA, Agenzia per il Lavoro (Aut. Min. 26/11/04 Prot. n. 1101-SG) divisione dedicata alla selezione di profili specializzati in ambito meccanico ed elettrico ricerca per importante azienda cliente un OPERATORE CNC JUNIOR La risorsa verr¨¤ inserita all'interno del reparto lavorazioni meccaniche e si occuper¨¤ della conduzione di torni e centri di lavoro. Requisiti richiesti: <U+2022> Diploma o qualifica professionale ad indirizzo meccanico <U+2022> P¡­",NA,"contract","Produzione/Industrie Manifatturiere","manufacturing-jobs","Adzuna::API::Response::Category","Gi Group","Adzuna::API::Response::Company","Adzuna::API::Response::Location","Cisano Bergamasco, Provincia di Bergamo","c(""Italia"", ""Lombardia"", ""Provincia di Bergamo"", ""Cisano Bergamasco"")"
"403","Ti occupi di traslochi? Katia R. ha richiesto trasloco","2020-11-26T17:16:42Z","https://www.adzuna.it/land/ad/1846042544?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=FFDD09CAF228C8B9F1FC2526769CCCFB5EEDC5EB",13.513907,"1846042544",43.530315,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ2MDQyNTQ0In0.XMUsQgElO2qPrDbDN5PG9VXBkEWNFijirtCR-Oker5g","Katia R. ha fatto richiesta per traslochi a Ancona. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Logistica/Imballaggio E Magazzinaggio","logistics-warehouse-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Camerano, Provincia di Ancona","c(""Italia"", ""Marche"", ""Provincia di Ancona"", ""Camerano"")"
"404","Sei un dog sitter? Tsukalas O. ha richiesto addestratore","2020-11-26T17:12:20Z","https://www.adzuna.it/land/ad/1845991628?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=8765332B86DB5D36F6A5989E7A69F7E50CB81603",8.939352,"1845991628",44.405745,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0NTk5MTYyOCIsInMiOiJESE1Na01BNzZ4R2dTQzMxWGJiTFJRIn0.zb2kza-R0Q_g113OC0LEvLFd152fAi2dSw0-ja0lM9k","Tsukalas O. ha fatto richiesta per addestratore a Genova. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Formazione/Istruzione","teaching-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Genova, Provincia di Genova","c(""Italia"", ""Liguria"", ""Provincia di Genova"", ""Genova"")"
"405","Ti occupi di traslochi? Haidar B. ha richiesto trasloco","2020-11-26T17:16:47Z","https://www.adzuna.it/land/ad/1846043483?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=FE6E8EAEB26DB4837D2B45423734B6E76AF39EC7",14.24544,"1846043483",40.858097,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ2MDQzNDgzIn0.tsUPEQvMWpuiYJQGvNz6y-qy8q1b5eYBhq6FisHwQ5Q","Haidar B. ha fatto richiesta per traslochi a Napoli. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Logistica/Imballaggio E Magazzinaggio","logistics-warehouse-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Napoli, Provincia di Napoli","c(""Italia"", ""Campania"", ""Provincia di Napoli"", ""Napoli"")"
"406","Ripari elettrodomestici? Rosa C. ha richiesto riparazione lavastoviglie","2020-11-26T16:11:34Z","https://www.adzuna.it/land/ad/1845986148?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=874102DAF93B78BC1EFFB1929FA6C41337B7894D",14.672381,"1845986148",36.752704,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ1OTg2MTQ4In0.gPS0Du5xyrh5FVIpt-it3jPAhEwzToqIz6vfXNzqySU","Rosa C. ha fatto richiesta per riparazione grandi elettrodomestici a Ragusa. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Elettrotecnica/Metalmeccanico","maintenance-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Scicli, Provincia di Ragusa","c(""Italia"", ""Sicilia"", ""Provincia di Ragusa"", ""Scicli"")"
"407","Sei un idraulico? Pasini G. ha richiesto manutenzione o revisione caldaia","2020-11-26T16:15:25Z","https://www.adzuna.it/land/ad/1846030356?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=81B99457F74EAB497D7638F753B7895BB4578D97",10.192466,"1846030356",45.66854,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ2MDMwMzU2In0.3Fx0dmwaFwkKjxrKkCYD7pf6blUcO5OtpolnlUcCuU0","Pasini G. ha fatto richiesta per termoidraulico a Brescia. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Ingegneria","engineering-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Sarezzo, Provincia di Brescia","c(""Italia"", ""Lombardia"", ""Provincia di Brescia"", ""Sarezzo"")"
"408","Sei un terapeuta? Sara M. ha richiesto mediatore familiare","2020-11-26T16:19:44Z","https://www.adzuna.it/land/ad/1846077787?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=E1A4383F55D37D71CF3906C03A09792B8231E838",10.996388,"1846077787",45.44205,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJpIjoiMTg0NjA3Nzc4NyIsInMiOiJESE1Na01BNzZ4R2dTQzMxWGJiTFJRIn0.a8yad1votbTjMRePbe7oSfftxKzF9APP5it65aNdVdk","Sara M. ha fatto richiesta per mediatore familiare a Verona. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Servizi Sociali","social-work-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Verona, Provincia di Verona","c(""Italia"", ""Veneto"", ""Provincia di Verona"", ""Verona"")"
"409","Sei un serramentista? Mercuri M. ha richiesto installazione o sostituzione finestre","2020-11-26T16:14:02Z","https://www.adzuna.it/land/ad/1846012555?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=456D4AA1892EE3DAFF10FE84CCFF9253BDBE4585",16.990481,"1846012555",41.034852,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ2MDEyNTU1In0.6OuGh48_4W-NiwQc8pCRZpAa5Y0YIl08dT-TgsznNzM","Mercuri M. ha fatto richiesta per infissi e serramenti a Bari. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Elettrotecnica/Metalmeccanico","maintenance-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Noicattaro, Provincia di Bari","c(""Italia"", ""Puglia"", ""Provincia di Bari"", ""Noicattaro"")"
"410","Sei un personal trainer? Davide S. ha richiesto personal trainer","2020-11-26T16:18:51Z","https://www.adzuna.it/land/ad/1846065913?se=DHMMkMA76xGgSC31XbbLRQ&utm_medium=api&utm_source=f0c87e31&v=BF8B68995B0A6834DB85908F16EFD2B6496412C2",16.870685,"1846065913",41.003656,"0",NA,"Adzuna::API::Response::Job",NA,"eyJhbGciOiJIUzI1NiJ9.eyJzIjoiREhNTWtNQTc2eEdnU0MzMVhiYkxSUSIsImkiOiIxODQ2MDY1OTEzIn0.sSpvFwEUDOkIHkSrXwZZOsA3lIQRyS8r_LnOivZtqjQ","Davide S. ha fatto richiesta per personal trainer a Bari. Prontopro ¨¨ il portale leader dei servizi che ti mette in contatto con nuovi clienti senza intermediari e abbonamenti. Di seguito una richiesta di lavoro arrivata sulla nostra piattaforma da parte di un utente. Clicca sul link sotto per iscriverti gratis a Prontopro e rispondere subito alla richiesta","part_time","contract","Formazione/Istruzione","teaching-jobs","Adzuna::API::Response::Category",NA,"Adzuna::API::Response::Company","Adzuna::API::Response::Location","Adelfia, Provincia di Bari","c(""Italia"", ""Puglia"", ""Provincia di Bari"", ""Adelfia"")"
